vhicle_class,vhicle_deta,year,make,model,engine,category,subcategory,application,product_type,part,comments
Passenger Cars & Light Trucks,Light Trucks,2023,Chevrolet,Traverse,V-6 3.6 L,"Belt Drive System
                        (3)","Front End Accessory Drive Components
                                (3)","Serpentine 
Tensioner Assy. 
Idler Pulley 
","Automotive V-Ribbed Belts (Standard) 
Belt Drive Tensioners 
Belt Drive Pulleys 
","K060744 
38397 
36110 
","View Chevrolet (Front End Accessory Drive Components) Diagram 
 
 
"
Passenger Cars & Light Trucks,Light Trucks,2023,Hyundai,Kona,4-Cyl. 1.6 L,"Belt Drive System
                        (2)","Front End Accessory Drive Components
                                (2)","Serpentine 
Alt. Decoupler Pulley 
","Automotive V-Ribbed Belts (Standard) 
Decoupler Pulleys 
","K060470 
37269P 
","View Hyundai (Front End Accessory Drive Components) Diagram 
 
"
Passenger Cars & Light Trucks,Light Trucks,2023,Tesla Motors,Model Y,Electric,"Cooling System
                        (5)","Coolant Hose
                                (5)","Battery Tube - Right Front Manifold 
Battery Tube - Left Front Manifold 
Rear Drive Unit Inverter To Oil Cooler 
Rear Drive Outlet Hose 
Inlet PCS Module-3 
","Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
","65005 
65003 
65002 
65007 
65001 
"," 
 
 
 
 
"
Passenger Cars & Light Trucks,Passenger Cars,2023,Cadillac,CT4,4-Cyl. 2.0 L,"Belt Drive System
                        (1)","Front End Accessory Drive Components
                                (1)","Serpentine 
","Automotive V-Ribbed Belts (Standard) 
","K050419 
","View Cadillac (Front End Accessory Drive Components) Diagram 
"
Passenger Cars & Light Trucks,Passenger Cars,2023,Chevrolet,Camaro,4-Cyl. 2.0 L,"Belt Drive System
                        (2)","Front End Accessory Drive Components
                                (2)","Serpentine 
Tensioner Assy. 
","Automotive V-Ribbed Belts (Standard) 
Belt Drive Tensioners 
","K050689 
39350 
","View Chevrolet (Front End Accessory Drive Components) Diagram 
 
"
Passenger Cars & Light Trucks,Passenger Cars,2023,Tesla Motors,Model 3,Electric,"Cooling System
                        (5)","Coolant Hose
                                (5)","Battery Tube - Right Front Manifold 
Battery Tube - Left Front Manifold 
Rear Drive Unit Inverter To Oil Cooler 
Rear Drive Outlet Hose 
Inlet PCS Module-3 
","Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
Molded Thermoplastic Coolant Hoses 
","65005 
65003 
65002 
65007 
65001 
"," 
 
 
 
 
"
Passenger Cars & Light Trucks,Passenger Cars,2023,Tesla Motors,Model S,Electric,"Cooling System
                        (1)","Coolant Hose
                                (1)","Rear Drive Unit Inverter To Oil Cooler 
","Molded Thermoplastic Coolant Hoses 
","65002 
"," 
"
Medium/Heavy Trucks,Medium/Heavy Trucks,2023,Ford,E450 Super Duty,Ford V-8 7.3 L,"Oil & Lubrication System
                        (1)","Oil Caps
                                (1)","Oil Filler Cap 
","Oil Filler Caps 
","31275 
"," 
"
Medium/Heavy Trucks,Medium/Heavy Trucks,2023,Ford,F650 Super Duty,Ford V-8 7.3 L,"Oil & Lubrication System
                        (1)","Oil Caps
                                (1)","Oil Filler Cap 
","Oil Filler Caps 
","31275 
"," 
"
Medium/Heavy Trucks,Medium/Heavy Trucks,2023,Ford,F750 Super Duty,Ford V-8 7.3 L,"Oil & Lubrication System
                        (1)","Oil Caps
                                (1)","Oil Filler Cap 
","Oil Filler Caps 
","31275 
"," 
"
